basemodel,Desk Type,Wire Channel,Flush Modesty,Depth,Width,Finish Type
FLT3672REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,36,72,Laminate
FLV3672REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,36,72,Veneer
FLT3678REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,36,78,Laminate
FLV3678REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,36,78,Veneer
FLT3684REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,36,84,Laminate
FLV3684REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,36,84,Veneer
FLT4272REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,42,72,Laminate
FLV4272REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,42,72,Veneer
FLT4278REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,42,78,Laminate
FLV4278REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,42,78,Veneer
FLT4284REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,42,84,Laminate
FLV4284REDST,Single Pedestal Desk - Right  (w/ 6" Overhang),true,false,42,84,Veneer
